Name,Skills,College,Degree,Field,Company,Position
Vihaan Mehta,"JavaScript (Angular), HTML/CSS, Python (Django), SQL (MySQL, PostgreSQL), Git, Ruby on Rails",New York University,Bachelor of Science,Computer Science,Pearson,Computer Science Tutor
Vikram Verma,"Web design technology, Database management system and administration, Programming in Java, Windows platforms programming, Linux programming, Database Programming, Python, Operating System knowledge, Data analysis techniques, Software development skills, Installation of hardware, Repair and maintenance practice, Troubleshooting of hardware failure, Upgrading of hardware, Installation of network components, Cabling and laying of cables, IP addressing, Firewall setup, Troubleshooting a network failure, Network design, Office suite, Accounting packages, Improving Accounting and Internal Control Systems, Interpersonal and Communication Skills, Negotiating skills, Technical proposal writing skills, Monitoring and evaluation skills","Kibabii University, Masinde Muliro University of Science and Technology, World Wide Information Technology College, Kipsangui High, Kamagut Primary School","Masters of Science in Information Technology, Bachelors Degree in Computer Science, Certification in computer packages, KCSE, KCPE","Information Technology, Software Engineering, N/A, N/A, N/A","Kibabii University, Masinde Muliro University of Science and Technology, Eldoret Water and Sanitation Company Limited (ELDOWAS), Hypertech Institute of Information and Technology, Electoral Commission of Kenya (ECK), Centro Systems Ltd","Technician and Instructor, Computer Technologist, Software Implementation Team Member, Tutor, Poling Clerk, Software Developer"
Ishaan Verma,"Machine Learning Engineer, Data Processing, Data Modelling, Data Structures, Deep Learning, Application Development, Python, Django, Flask, Kubernetes, C++","SHRI GURU GOBIND SINGHJI COLLEGE OF ENGINEERING AND TECHNOLOGY, NANED",B.TECH,COMPUTERS,"TATA CONSULTANCY SERVICES LTD., NANYANG TECHNOLOGICAL UNIVERSITY","MACHINE LEARNING ENGINEER, RESEARCH ASSISTANT"
Priya Patel,"Tensorflow, AWS, Keras, Deep Learning, Pytorch, Flask, Machine Learning, PySpark, Kafka, XML, API, JavaScript, AngularJS, SAP, RestAPI, PHP","PES University, Bangalore",B.Tech(IT),Information Technology,AT&C Solutions,Software Developer ML
Krishna Kapoor,"C/C++, C#, Java, Javascript, Swift, HTML, MySQL, Python, Visual Studio, Eclipse, Unity, Xamarin Studio, Emacs, TextWrangler, Xcode, Sublime 2, OSX, Windows, Linux, iOS, Android, Unix Terminal, Adobe Photoshop, Adobe Indesign, Google Drive, Dropbox, Microsoft Office, iWorks, Google Calendar, Mozilla Thunderbird, Software Practice I/II, Cyber Ethics, Artificial Intelligence, Differential Equations, Computer Graphics, Probability and Stats, Computer Systems, Discrete Mathematics",Ensign College,Associate of Applied Science,Computer Science,"Undergraduate Student Advisory Committee, Association for Computing Machinery, Housing & Residential Education Office","Committee Chair, Member, Resident Advisor"
Arjun Rao,"DasyLab, Labview, Mechanical, Electrical, Lean/5S, Hydraulic Testing, Test Stand Fabrication","Forsyth Technical Community College, Community College of the Air Force","Associates, Associates","Applied Science Electronics Engineering, Applied Science, Munitions Systems Technology","Company Name, Company Name, Company Name, Company Name","Engineering Lab Technician, Engineering Lab Technician, Sr. Specialist, Assembly/ Test Technician, Munitions Systems Journeyman"
Karan Singh,"Program Management, Portfolio Management, Process Analysis, Solution Design, Enterprise Software, Systems Integration, Data Management, Product Excellence, Agile Methodology, People Development, Leadership Development, Coaching/Mentoring","Claremont Graduate University, Claremont Graduate University, Mount St. Marys University","Ph.D., Master of Science, Bachelor of Arts","Computer Information Systems and Technology, Computer Information Systems and Technology, Business Administration","Company Name, Company Name, Company Name, Claremont Graduate University, Mount St. Marys University","Senior Engineering Program Manager, Founder/Principal Consultant, Senior Manager, Adjunct Professor, Instructor"
Krishna Ghosh,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written","Martinez Adult Education, Business Training Center City , State",Computer Applications Specialist Certificate Program,Computer Applications,"Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, N/A","Accountant, Accounts Receivable Clerk, Mortgage Underwriter, Commercial Auto Underwriter, Personal Auto Underwriter, Claims Examiner"
Aditya Singh,"Data Analysis, Machine learning, Data Mining, Natural Language Processing, Linear Regression, Cluster Analysis, Correlation Analysis, Logistic Regression, Principal Component Analysis, Anova, Neural Networks, R, Python, MySQL, Tableau, Excel, SPSS, Decision tree","MamCO University, MamCO University","BSc(CA), MSc(CA)","Computer Applications, Computer Applications",KPMMC Inc.,Machine Learning Junior Developer
Meera Patel,"MS Office, Minitab, PowerPoint, Excel, Solid works, AutoCAD, Pro E, MS Access, SAP, Java, C, C++, Visual Basic, R, Python, AutoCAD, C, C++, Calibration, charts, data analysis, Database, designing, documentation, Forecasting, IMS, inspection, inventory, ISO, ISO 9001, Java, Lean Manufacturing, MS Access, Excel, MS Office, PowerPoint, Minitab, process improvement, Programming, Python, quality, safety, SAP, SAP R/3, Scheduling, Siemens, Solid works, SOP, Strategy/planning, supervising 4, Visual Basic, reduce waste","University of Texas, Mumbai University","Masters of Science, Bachelor of Engineering","Industrial Engineering Production & Inventory management, Production Engineering Manufacturing, Planning and Supply Chain","Company Name, Company Name, Company Name","Industrial Engineering Intern, Junior Engineer, Intern"
Ananya Joshi,"Payroll & Tax 940, 941 withholding Accounting, Accounts Payable & Receivable, Multi-State Sales Tax Filing, Analytical reasoning, Account reconciliation expert, QuickBooks, Peachtree, Payroll Mate, Adobe, Sage, PeachTree, Quick Books, MS Office, Medlin, Tax Slayer, Pro Series, Lotus I, II, III","Colorado Technical University, Rowan Cabarrus Community College","Bachelor of Science, Associate of Arts and Applied Science","Accounting, Accounting","Company Name, Company Name, Company Name, Company Name, Company Name","Senior Accountant, Accountants Payable/Receivable & Purchasing Administrator, Accountant, Accounts Receivable & Collection Manager, Accountant"
Aisha Malhotra,"Microsoft Windows 10, Memtest86, TeamViewer, McAfee Endpoint Security, Acronis True Image, Recuva, Wireshark, HWiNFO, VMware Workstation, PowerShell",University of Washington,Bachelor of Science,Computer Science,"Expedia Group, Nordstrom, Tableau Software","Computer Technician, IT Support Specialist, Help Desk Technician"
Aanya Verma,"Agile coach, Product owner, Team lead, Scrum master, Web application development, UI design, Relational database design, ASP, C#, VB.NET, SOAP, REST, JQuery, Bootstrap, CSS, HTML5, MSSQL, MYSQL, DTS, SSIS, SSRS, IIS 5, IIS 6, Agile, Scrum, Kanban, Objective C, PHP, Perl","Milwaukee Area Technical College, MRA","Associate of Science, Principles of Management","Software Engineering, N/A","Company Name, Company Name, Company Name, Company Name","Engineering Team Lead, Software Engineer, Web Developer, Jr. Software Engineer"
Karan Jain,"Business Intelligence, Market Analysis, Statistical Analysis, Data Science, Retail Analytics, IBM SPSS, Python, Tableau, Power Bi","SRM IT, Chennal",B.Tech,Computer Science,IRRM International,Junior Analyst Expert
Saanvi Malhotra,"15+ years of experience in Accounting & Bookkeeping Services, Financial statements, Bank reconciliations and General Ledger expertise, Flexible team player, Financial statement analysis, Tax return filing, GAAP understanding, Bank reconciliations and balancing, Microsoft Word, Excel, Access, PowerPoint, Outlook, Asset Keeper Pro Software, QuickBooks Software, Fixed Asset Solutions Software, Creative Solutions Bookkeeping Software, HOST Software, Document Manager Software, ProSystem, UltraTax, Lacerte Tax Preparation Software",Northwestern State University of Louisiana,Bachelor,Accounting,"Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Accountant, Accountant"
Neha Ghosh,"Adobe Captivate, Blackboard, Business Objects, Clarity, Cerner, DOORS, eCHIMP, Eclipsys, EHRs, EPIC, HBOC, MACESS, IDX, I-MAX, FACET, HEAT, SQL Server 2005, Cognos, ER/Studio, Mini-tab, Oracle, SAS, SharePoint Foundation 2007/2010, SPSS, pcAnywhere, Excel, Word, One Note, Outlook, Power Point, Project, SharePoint, Visio","NOVA SOUTHEASTERN UNIVERSITY, BRENAU UNIVERSITY, NORFOLK STATE UNIVERSITY, TIDEWATER COMMUNITY COLLEGE","Masters of Business Administration, Attending, Bachelor of Science, Associate of Science","Project Management, Project Management, Management Information Systems, Business Administration","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Manager Engineering Manufacturing Systems Engineering Manager, Manager Engineering Process Initiatives Manager, Manager Engineering Process Manager, Business Process Analyst, Applications Specialist, Business Systems Analyst, Information Architect"
Diya Kapoor,"Budget development, Exceptional interpersonal communication, Effective leader, Staff training/development, Consistently meet goals, Efficient multi-tasker, Deadline-oriented, BASIC, COBOL, FORTRAN, PASCAL, Prolith (Modeling), Power Point, Word, Excel, Lotus Notes, Statistical Analysis: JMP, DOE (design of experiment), PCS, SPC++, six sigma, data view, Crystal ball","WORCESTER STATE University, CENTRAL NEW ENGLAND COLLEGE","B.S, B.S","Management information system, Electrical engineering technology","Company Name, Company Name","Engineering Manager, Application and Marketing Engineer"
Diya Patel,"Data Analysis, Data Analytics, Linear Regression, Logistic Regression, Predictive Modeling, Business Analytics","HiiT College, Goa",B.Tech,Electrical and Electronics,"iNyra Nursing Home, Caribo Hotels & Casinos","Associate Medical Analyst, Junior Data Engineer"
Aditya Sinha,"Accounting operations, Complex problem solving, Effective time management, Strong organizational skills, General ledger accounting, Account reconciliation expert, Flexible team player, Strong communication skills, NetSuite, Epicor, Sage, Quickbooks, Office Master System, Peachtree, GLACIER Tax Prep, Intuit Payroll, ChasePaymentech, Word, Excel, Outlook","Ball State University, Ball State University","Master of Science, Bachelor of Science","Accounting, Business Administration","Company Name, Company Name, Company Name, Company Name","Senior Accountant, Corp. Accountant, Graduate Assistant of Economic Department, Income Tax Preparer"
Aarav Chauhan,"MIS reporting, Advanced Excel, Dashboards, Data Analysis, SQL, MySQL, Power Bi, Machine Learning, Linear Regression, Statistical Analysis, Clustering, NoSQL, MongoDB, Python, EDA, Business Intelligence, Logistic Regression","Shivaji College, Indira Gandhi National Open University","B.A (Economics), M.A (Economics), Correspondence/Distance Learning","Economics, Economics",Justdial,MIS Analyst
Ananya Patel,"Machine Learning, Python, SQL, Artificial Intelligence, Business Analytics, Data Extraction, Data Analysis, Python, Haskell, Flutter, Android","D&D University, Daman and Diu",B.Tech,,AdSense Media,Machine Learning Developer
Aisha Ghosh,"Careful and active listener, Self-Starter & self-motivated, Hungry for growth and continuous learning, Proactive and energetic, Fluent in Spanish","University of California, Santa Cruz",Bachelors of Arts,Sociology,"Company Name, Company Name, Company Name","Business Development Manager, Business Development Manager, Talent Acquisition Consultant / Account Executive"
Vihaan Rao,"Mathematical modelling, Machine Learning, Predictive Analysis, Artificial Intelligence, AWS deployment, Data gathering, Data Mining, Python",Sanghvi College of Engineering,B.Tech,,BPM Foundation,Data Manager
Meera Das,"Machine Learning, Artificial Intelligence, Python, Predictive Analytics, Statistical Modeling, Data Visualization, Data Analysis, Data Mining, Data Validation, Power Bi, Text Analytics, Data Modeling, Data Analyst","Gujarat University, Vellore Institute of Technology","B.Tech, M.Tech",",",Volvo India Pvt. Ltd.,Data Analyst
Neha Verma,"Operational analysis, Exceptional time management, Geometric dimensioning, Strong leader, Manufacturing process controls, Detail-oriented, Analog and digital circuitry, Detail drawings, Comfortable working at heights and odd locations, Technical plan execution aptitude, Detail-oriented understanding that any downtime must be minimized if not avoidable, Understand overtime and on-call basis may be required, Rigging, Soldering, Drilling- Tapping, Measurement and layout, Test and measurement equipment, Equipment calibration, Tenacity , willingness to go to whatever length it takes to solve a problem or improve a process, assembly, broadcast, calibration, concept, drafting, engineer, Radar, modeling, Naval, Network, Oscilloscopes, quality, record keeping, Research, sales, FM, SPS, Test Equipment, UHF, Wiring",Central Maine Community College,Associate of Applied Science,"Continuing coursework in Math, History and finishing the ELT program","Company Name, Company Name, Company Name, Company Name","Engineering Technician/ Field Service, Engineering technician, Technician, Operations Specialist"
Meera Verma,"Live Electrical, Arc Flash, Lock-Out/Tag-Out, ESD, functional testing, test equipment repair and operation, troubleshooting, ISO-9001 standards, electrical equipment operation, Mechanical repair, oil servicing, Power Generation, soldering, electrical component repair, safety awareness, schematics, blueprints, drawings, various testing equipment, equipment/wiring installation, solenoid/valves, PC repair, fabrication, well organized, self motivated, excellent written and verbal communication skills","Embry Riddle Aeronautical University, Pueblo High School","Bachelor of Science, Diploma","Professional Aeronautics, N/A","Company Name, Company Name, Company Name, Company Name","Engineering Technician III, Generator Test Technician III, Unmanned Aerial Vehicle (UAV) Maintenance Technician, Electrical Power Generation Equipment Repairer Technician"
Riya Nair,"Python, C, Java, PostGreSQL, PL/pgSQL, SQLite, Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Git, Visual Studio, Valgrind, Linux, Unix, Windows, MatLab, R, Javascript, HTML, WebGL, OpenGL",University of Victoria,Bachelor of Science,Computer Science,Department of Mathematics and Statistics,Teaching Assistant
Aditya Chauhan,"Data Analysis, Machine Learning, Scikit Learn, Hive, SQL, IBM Watson, Natural Language Processing, AWS Texualizer, SparkOCR, PySpark, Python, Tesseract, Image Processing","VIT, Vellore, BMS, Bangalore","B.Tech, M.Tech","Mechanical, Machine Learning",Indusoft Pvt Ltd,Junior Data Analyst
Aisha Joshi,"Software Engineer, Data Analyst, Machine Learning, Text Analytics, Software Development, Object Oriented Programming, Pandas, Numpy, Java, Python, SpringBoot, Laravel",Dr. Jagjiban Rao Engineering College,B.Tech,ECE,KLP Technology Solutions,Software Engineer
Tanya Bose,"Python, LeetCode, GDB, GitHub, HTML, MySQL, Lucidchart, Postman, OWASP ZAP, Jira",University of Texas,Bachelor of Science,Computer Science,"Charles Schwab, Sysco, Accenture","Computer Programmer, Systems Administrator, Help Desk Technician"
Meera Singh,"QuickBooks, Sage, Lacerte, Intuit ProSeries, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft Outlook, Microsoft Power Pivot, Microsoft PowerPoint, CalBench, FASB & GAAP standards, Sarbanes-Oxley, Generally Accepted Auditing Standards","LIU, Hunter College","Master of Science, Bachelor of Science","Taxation, Accounting","Company Name, Company Name, Company Name, Company Name","Accountant, Accounting Assistant, Stock Clerk, Restaurant Operations Manager"
Vikram Nair,"Data Science, Data Analysis, Deep Learning, Machine Learning, Artificial Intelligence, Python, MATLAB, NLP, Computer Vision, Keras, Pytorch, RNN","IIT Kharagpur, IIT Kharagpur","B.Tech, M.Tech","N/A, N/A",IIT Labs,Associate Researcher
Ishaan Bose,"Data Analysis, Business Analysis, Statistical Analysis, Regression Analysis, Natural Language Processing, Machine Learning, Numerical Analysis","IISc, IIIT Bangalore","BSc, MSc","Statistics, Data Analysis and Statistical Computation",BVB,Statistical Analyst
Riya Reddy,"Data science, Deep learning, Neural Networks, Artificial Intelligence, Natural Language Processing, Pattern Recognition, Machine Learning, Predictive Analytics, Logistic regression","St. Subhash College, Hyderabad",B.CA,,BB House of Developers,Intern Trainee
Aarav Verma,"Machine Learning, Data processing, Data visualization, Deep Learning, SQL, Python Programming, PyCharm, Django",Heramba Chandra College,B.Tech,CSE,DKB Innovations,Python Intern
Ananya Rao,"QuickBooks, Sage, Lacerte, Intuit ProSeries, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft Outlook, Microsoft Power Pivot, Microsoft PowerPoint, CalBench, FASB & GAAP standards, Sarbanes-Oxley, Generally Accepted Auditing Standards","LIU, Hunter College","Master of Science, Bachelor of Science","Taxation, Accounting","Company Name, Company Name, Company Name, Company Name","Accountant, Accounting Assistant, Stock Clerk, Restaurant Operations Manager"
Tanya Sinha,"Artificial Intelligence, Deep Learning, Reinforcement Learning, Tensorflow Keras, Scikit learn, Numpy, Pandas, Matplotlib","IIIT D&M Kancheepuram, Chennai",B.Tech(IT),Information Technology,Larsen & Toubro,Analyst Intern
Meera Chauhan,"C, R, Catia, AutoCAD, ANSYS, Microsoft office, Product Project Management, GD&T, Minitab, Kanban, Kaizen, FMEA, development, Toyota production systems, APQP, PPAP, 8D, 5 why, KPIs, Reliability SAE Standards, Vehicle ergonomics, DVP&R, QCC, CNC engineering, Programming, anatomy, benchmarking, lean manufacturing, manufacturing process, cost analysis, packaging, process engineering, Product Development, surveys, validation, welding","University of Michigan Dearborn, Visvesvaraya Technological University","Master of Science, Bachelor of Engineering","Manufacturing Systems Engineering, Mechanical Engineering","Company Name, Company Name","Engineering Assistant, Engineer"
Priya Kapoor,"Machine Learning, Data Structures, Data Mining, Data Modeling, Python, Java Programming, Algorithms","Chadrasekhar University, Mangalore",B.Sc,Statistics,"Kinsgley Co., CIS IT Services","Automation Engineer, Data Engineer"
Ananya Gupta,"Machine Learning, Artificial Intelligence, Python, Predictive Analytics, Statistical Modeling, Data Visualization, Data Analysis, Data Mining, Data Validation, Power Bi, Text Analytics, Data Modeling, Data Analyst","Gujarat University, Vellore Institute of Technology","B.Tech, M.Tech",",",Volvo India Pvt. Ltd.,Data Analyst
Karan Rao,"Business Intelligence, Market Analysis, Statistical Analysis, Data Science, Retail Analytics, IBM SPSS, Python, Tableau, Power Bi","SRM IT, Chennal",B.Tech,Computer Science,IRRM International,Junior Analyst Expert
Krishna Mehta,"Data Analysis, Data Science, Data Visualization, Machine Learning, Artificial Intelligence, Decision Tree, Clustering, Python, SQL, Microsoft Excel",Silnivesh Institute and College of Technology,B.E,IT and ECE,SiT,Student Research Assistant
Neha Bose,"Internet, Microsoft Office, MS Word, MS Power Point, MS Excel, Pivot Tables, Spreadsheets, Macros, Business Objects, Lombardi, Eagle Accounting System, PEGA, DRAS, Workbench, Account reconciliations, Detail-oriented, Variance analysis, Analytical, Expert in MS Office Suite, Account reconciliation expert, Effective time management, Complex problem solving, Superior research skills, MS Office: Database, MS Office: V-look up, MS Office: Pivot tables, MS Office: Outlook, Company Platforms: Business Objects, Company Platforms: Workbench, Company Platforms: Eagle, Company Platforms: Pega, Company Platforms: Lombardi, Company Platforms: DRAS","University of Delaware, University of Delaware","Master of Business Administration, Bachelor of Science","Finance, Medical Technology","Company Name, Company Name, Company Name","Investment Accountant, AML Compliance Officer, Medical Technologist"
Ananya Reddy,"Machine Learning, Software Development, Text Analysis, Natural Language Processing, Image Processing, Python, Data Management, Scikit Learn, C, C#, .NET, SQL",Punjab Technical University,B.Tech,Computer Science,HS Institute,Trainee
Vikram Chopra,"C, R, Catia, AutoCAD, ANSYS, Microsoft office, Product Project Management, GD&T, Minitab, Kanban, Kaizen, FMEA, development, Toyota production systems, APQP, PPAP, 8D, 5 why, KPIs, Reliability SAE Standards, Vehicle ergonomics, DVP&R, QCC, CNC engineering, Programming, anatomy, benchmarking, lean manufacturing, manufacturing process, cost analysis, packaging, process engineering, Product Development, surveys, validation, welding","University of Michigan Dearborn, Visvesvaraya Technological University","Master of Science, Bachelor of Engineering","Manufacturing Systems Engineering, Mechanical Engineering","Company Name, Company Name","Engineering Assistant, Engineer"
Krishna Gupta,"Troubleshooting and problem solving, Exceptional telephone etiquette, Professional demeanor, Self-starter, Time management ability, Ability to prioritize, Deadline-oriented, Employee training and development, Sales Software: Salesforce.com, Paperless Proposals, Learning Management: Saba LMS, Success Factors LMS, Webex, Pedague Testing System, Administrative: Microsoft Office Suite, Concur, Technical: Vantive, Clarify",Centenary College,Bachelor of Science,Business Administration,"Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Business Development Coordinator, Technology Coordinator, Region Coordinator, Executive Assistant, Technical Support Coordinator, Clinical Administrator, Specialist, User Applications, Training Coordinator"
Meera Ghosh,"Software Development, Data Science, Data Analysis, Data Structure, Business Analytics, Artificial Intelligence, Machine Learning, Software Engineering, Java, Powerbi, Tableau, SQL, DBMS, Deep learning","HEM College, Indore",B.Tech,,ZoomBot,Intern at Machine Learning and cognitive division
Saanvi Nair,"Machine Learning Engineer, Data Analyst, Natural Language Processing, Deep Learning, Reinforcement Learning, Tensorflow, Keras, Scikit Learn, Numpy, Pandas, Matplotlib, Python","AMIT, Bijnor, KVIT, Pilani","B.Tech, M.Tech","Electronics/Telecommunication, Advanced Analytics",Larsen & Toubro,Analyst Intern
Diya Nair,"Lead Development, build teams, mentor, interface with customers and vendors, architect end to end, Develop products in consumer electronics, digital TV, industrial automation, control systems, C, C++, JAVA, JVM, Embedded Linux, LXC, Device Drivers, Socs, RTOS - OS9, VXWorks, DVB, MPEG, H.264, HLS, MP4, JSON, REST, SOAP, XML, SNMP, TR069, Microcontrollers, hardware, Matlab, Octave, Mathematical modeling, Integrating content protection systems, Agile Methodologies, Scrum, SDLC, project planning and management, leadership","Indian Institute of Technology, Devi Ahilya University, Coursera - Stanford","M.Tech, B.E, Course","Control Systems, Electrical Engineering, Machine learning","Company Name, Company Name, Company Name","Engineering Manager, Engineering Manager, Architect, Senior Software Engineer"
Arjun Joshi,"Air Force, ANSYS, approach, C, CAD, decision-making, designing, experimentation, Experiments, features, FORTRAN, instructor, lesson planning, machining, marketing, Materials, MATLAB, Mechanical Design, Microsoft Office, Modeling, NASTRAN, enterprise, OS, optimization, PATRAN, camera, physics, predict, Process Control, Research, research and design, robotic, Solidworks, Statistical Process Control, teaching","Arizona State University, Arizona State University","Doctor of Philosophy, Master of Science","Mechanical Engineering, Mechanical Engineering","Company Name, Company Name, N/A","N/A, Thermal Engineering Intern, Researcher"
Karan Kumar,"C++, Python, C, Software Developer, Prediction Modelling, Machine Learning","National Institute of Technology (NIT), Hamirpur",B.Tech,Computers,SRD Institute,Developer Engineer
Vikram Sharma,"Data entry, Employee training, Equipment maintenance, ERP : Microsoft AX Dynamics, Failure analysis, Inspection, Lean manufacturing, Mechanical processes, protocols execution, Supervisory, System integration, Team player, Troubleshooting",East Boston High School,Diploma,,"Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Engineering Technician, Sr. Repair Technician, Lead Manufacturing Technician Production Supervisor, Wafer Fab Technician, Assembler/Operator, Test Technician"
Tanya Kumar,"DMAIC, Failure Modes and Effective Analysis (FMEA), Kaizen, Lean Manufacturing, 5S, Value Stream Mapping, Root Cause Analysis, PFMEA, Statistical Process Control, Process Capability, ANOVA, Gage R & R, Programmable Logic controls (PLC), Discrete Control system (DCS), Microsoft office, Minitab, Pro-E, Auto-Cad, C++, C, Visual Basics","University at Buffalo, The State University of New York, University of Mumbai","Master of Science, Bachelor of Engineering","Industrial Engineering, Chemical Engineering","Company Name, Community Beer Works, National Organic Chemicals of India Limited (NOCIL), City, State","Engineering Intern, Lean Six Sigma Intern, Rubber Chemical Division, Production Supervisor"
Sara Mehta,"Account reconciliations, Results-oriented, Financial reporting, Critical thinking, Accounting operations professional, Analysis of financial systems, ERP (Enterprise Resource Planning) software, Excellent facilitator, Accounting, General Accounting, Accounts Payable, Program Management","Northern Maine Community College, Husson College","Associate, N/A","Accounting, Accounting","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Resource Advisor, Staff Accountant, Chief, Reports Branch. Accounts Maintenance and Control, Chief, Accounts Payable Branch, Chief, Recon and Reports Branch, Chief, Accounts Payable Branch, Accountant, Network Assistant Team, Supervisor, Accounts Control Branch"
Ishaan Patel,"MIS reporting, Advanced Excel, Dashboards, Data Analysis, SQL, MySQL, Power Bi, Machine Learning, Linear Regression, Statistical Analysis, Clustering, NoSQL, MongoDB, Python, EDA, Business Intelligence, Logistic Regression","Shivaji College, Indira Gandhi National Open University","B.A (Economics), M.A (Economics), Correspondence/Distance Learning","Economics, Economics",Justdial,MIS Analyst
Neha Gupta,"Construct, test and troubleshoot AC/DC circuits, Determine voltage, current, resistance and power by calculations and measurements, Identify electronic components and schematic symbols, Utilize oscilloscopes to measure AC frequency, Very proficient in soldering, Troubleshoot and identify faulty capacitors, inductors and transformers, Skilled in the use of hand tools for repairing and installing electronics, Create circuits with Multisim CAD software, Assemble/disassemble PCs and electronics to the component level, Familiar in C+, C++, Java script, SQL, Visual Studio, Microsoft Team Foundation, Microsoft Test Manager, Tera Term, GShell, Linux, OSi, Studied and understand Programmable Logic controllers, Digital communications with fiber optics, Understand different types of transmission lines: twisted pair, UTP, shielded pair and coaxial, Proficient with Microsoft Word, Excel, PowerPoint, Access, Outlook, Strong oral and written communication skills, Adapt to new technology at an accelerated rate","ITT Technical Institute, N/A","Associate of Science Degree, Bachelor of Science Degree","Computer and Electronics Engineering Technology, Electronics and Communication Engineering Technology","Company Name, Company Name, Company Name","Engineering Lab Technician, Engineering Validation Test Technician, Electromechanical Technician"
Ananya Jain,"Data Analytics, Artificial Intelligence, Data Visualization, Machine Learning, Python, Data Wrangling, Featurization, Heuristics, Data Structures","Punjabi University, Patiala",B.Tech,Electronics and Communication,JP Informatics,Intern
Meera Joshi,"C/C++, C#, Java, Javascript, Swift, HTML, MySQL, Python, Visual Studio, Eclipse, Unity, Xamarin Studio, Emacs, TextWrangler, Xcode, Sublime 2, OSX, Windows, Linux, iOS, Android, Unix Terminal, Adobe Photoshop, Adobe Indesign, Google Drive, Dropbox, Microsoft Office, iWorks, Google Calendar, Mozilla Thunderbird, Software Practice I/II, Cyber Ethics, Artificial Intelligence, Differential Equations, Computer Graphics, Probability and Stats, Computer Systems, Discrete Mathematics",Ensign College,Associate of Applied Science,Computer Science,"Undergraduate Student Advisory Committee, Association for Computing Machinery, Housing & Residential Education Office","Committee Chair, Member, Resident Advisor"
Krishna Singh,"Problem resolution, Results-oriented, Meticulous attention to detail, Managing multiple priorities, Active Learning, Client Relations, Computer Proficiency, Creative Problem Solving, Critical Thinking, Data Collection, Data Entry, Documentation, Email, Executive Management Support, Filing, Internet Research, Letters and Memos, Minute Taking, Multi-Task Management, Organizational Skills, Research, Scheduling, Service Orientation, Speaking, Spreadsheets, Travel Arrangements","Denver High School, Front Range Community College","High School Diploma,",", General Studies","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Business Development, Service Manager, System Technology Specialist, Project Manager, Support Manager, Project Administrator"
Neha Kapoor,"Python, Machine Learning, Text Analytics, Big Data Analytics, Data Mining, Natural Language Processing, Multivariate Analysis, R, MS-Excel",Nagpur University,B.Tech,Instrumentation and Control,Tata Consultancy Services Ltd.,Junior Data Engineer
Sara Chauhan,"Construct, test and troubleshoot AC/DC circuits, Determine voltage, current, resistance and power by calculations and measurements, Identify electronic components and schematic symbols, Utilize oscilloscopes to measure AC frequency, Very proficient in soldering, Troubleshoot and identify faulty capacitors, inductors and transformers, Skilled in the use of hand tools for repairing and installing electronics, Create circuits with Multisim CAD software, Assemble/disassemble PCs and electronics to the component level, Familiar in C+, C++, Java script, SQL, Visual Studio, Microsoft Team Foundation, Microsoft Test Manager, Tera Term, GShell, Linux, OSi, Studied and understand Programmable Logic controllers, Digital communications with fiber optics, Understand different types of transmission lines: twisted pair, UTP, shielded pair and coaxial, Proficient with Microsoft Word, Excel, PowerPoint, Access, Outlook, Strong oral and written communication skills, Adapt to new technology at an accelerated rate","ITT Technical Institute, N/A","Associate of Science Degree, Bachelor of Science Degree","Computer and Electronics Engineering Technology, Electronics and Communication Engineering Technology","Company Name, Company Name, Company Name","Engineering Lab Technician, Engineering Validation Test Technician, Electromechanical Technician"
Vihaan Verma,"Data Science, Data Analysis, Data Analytics, Data Mining, Deep Learning, Machine Learning, Artificial Intelligence, Linear Regression, Python, Jupyter, OpenCV","Amity University, Noida",B.Tech,Computers,NaxApp,Software Development Intern
Vihaan Sharma,"Applied Machine Learning, Deep Learning, Computer Vision, Guided Mechanisms, Search Algorithms, Optimization, Parameter tuning","Sadar Sai Chand College, Mumbai",B.Tech,Computer Science & Engineering,ViZon LTD,Junior Intern
Saanvi Joshi,"Data Engineer, Data Analytics, Data Visualization, Machine Learning, Statistical Modeling, Predictive Modeling, MongoDB, PowerBI, Tableau, Python, MySQL","Government College of Engineering, Pune, Great Lakes Institute of Management","B.Tech, PG Diploma","Electronics and Communication, Data Science and Engineering",ZF Group,Data Engineer Associate
